SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
mortin,1,19,False,https://www.amazon.com/Watkins-Gourmet-Organic-Popcorn-Seasoning/dp/B09F16KMKM/ref=sr_1_19,"Watkins Gourmet Organic Butter and Salt Popcorn Seasoning, 5.3 oz",B09F16KMKM,"$3
99",,"1,544",4.1 out of 5 stars
mortin,1,20,False,https://www.amazon.com/Quercetin-Vitamin-Selenium-Nutrition-Capsules/dp/B08NZ5ZW5Q/ref=sr_1_20,"(90 Capsules), Quercetin 1,000mg, Vitamin C 1,000mg, Zinc 50mg, Vitamin D3 5,000iu, Selenium, Copper, Acerola, Ginger, Rutin, Bitter Orange, Rose Hips, Echinacea, Immune C Plus, 12 in 1 Immune Support",B08NZ5ZW5Q,"$19
99",$29.99,"3,289",4.6 out of 5 stars
mortin,1,21,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"Amazon Basic Care Ibuprofen Tablets 200 mg, Pain Reliever/Fever Reducer, Body Aches, Headache, Arthritis Relief and More, 500 Count",B074F297T8,,,"71,408",4.8 out of 5 stars
mortin,1,22,False,https://www.amazon.com/Plastic-Syringe-Hydroponic-Measurement-Decoration/dp/B07SQCKCCZ/ref=sr_1_22,"200ml Large Syringe with 40 Inch Tube and Tip Adapter, for Feeding Pets, Liquid Refilling, Drawing Oil Fluid (200 ML/CC)",B07SQCKCCZ,"$5
99",,953,4.3 out of 5 stars
mortin,1,23,False,https://www.amazon.com/Sports-Research-Evening-Primrose-1300mg/dp/B07Q5WQ6CC/ref=sr_1_23,"Sports Research Evening Primrose Oil (1300mg) Cold-Pressed with No fillers or Artificial Ingredients, Non-GMO Tested, Gluten and Soy Free (30 Liquid Softgels)",B07Q5WQ6CC,"$14
95",$16.95,"31,186",4.6 out of 5 stars
mortin,1,24,False,https://www.amazon.com/Sock-Style-Metatarsal-Cushions-Women-Sleeve/dp/B0BH4N477G/ref=sr_1_24,"Sock-Style Metatarsal Pads Ball of Foot Cushions with Gel Pads - Ball of Foot Pain Relief Cushions for Sesamoiditis, Metatarsalgia, Morton's Neuroma(L(W:7-9),Black))",B0BH4N477G,"$9
99",,10,3.5 out of 5 stars
mortin,1,25,False,https://www.amazon.com/HiccAway-Hiccup-Relief-Hiccups-Treatment/dp/B08C1Y3GRC/ref=sr_1_25,"HiccAway : The Original Natural Remedy Proven to Stop Hiccups Instantly, As Seen on Shark Tank.",B08C1Y3GRC,"$13
42",,"3,074",4.3 out of 5 stars
mortin,1,26,False,https://www.amazon.com/Immune-Supplement-Quercetin-Elderberry-Turmeric/dp/B093P29P79/ref=sr_1_26,8 in 1 Immune Support with Quercetin Zinc 50mg Vitamin C 1000mg Vitamin D3 5000 IU and Elderberry Echinacea Ginger for Adults Kids - VIT D Immunity Defense Booster Supplement Veg Capsules Made in USA,B093P29P79,"$24
95",$29.99,"2,670",4.6 out of 5 stars
mortin,1,27,False,https://www.amazon.com/Gorilla-Grip-Resistant-Unpolished-Guacamole/dp/B07MLTDNVD/ref=sr_1_27,"Gorilla Grip Granite Mortar and Pestle Set, Holds 1.5 Cup, Stone Grinder Bowls for Guacamole, Unpolished Large Non Scratch Salsa Avocado Bowl, Cooking Spices and Seasoning, Kitchen Accessories, Gray",B07MLTDNVD,"$19
99",$22.99,"9,465",4.7 out of 5 stars
mortin,1,28,False,https://www.amazon.com/Ashwagandha-Organic-Cortisol-Supplements-Capsules/dp/B079NMSPBW/ref=sr_1_28,"Physician's CHOICE Ashwagandha 1950mg Organic Ashwagandha Root Powder with Black Pepper Extract, Stress Support, Mood Support Supplement, 90 Veggie Ashwagandha Capsules",B079NMSPBW,"$19
77",,"27,616",4.4 out of 5 stars
mortin,1,29,False,https://www.amazon.com/Elder-Mune-Elderberry-Gummies-Vitamin-C-Optimal/dp/B07GVPS9H9/ref=sr_1_29,"Zhou Nutrition Elder-Mune Sambucus Elderberry Gummies with Zinc and Vitamin C for Kids & Adults (Age 4+) Immune Support with Antioxidants, Vegan, Gluten Free, Non-GMO, 30 Servings, 60 Gummies",B07GVPS9H9,"$13
99",,"14,615",4.8 out of 5 stars
mortin,1,30,False,https://www.amazon.com/Morton-popcorn-salt-3-75-oz-Pack/dp/B01F6SVDX8/ref=sr_1_30,"Morton popcorn salt 3.75-oz, Pack of 2",B01F6SVDX8,"$6
19",,"3,208",4.7 out of 5 stars
mortin,1,31,False,https://www.amazon.com/Strength-Astaxanthin-Organic-Coconut-Absorption/dp/B07V574YYY/ref=sr_1_31,"Sports Research Triple Strength Astaxanthin Supplement from Algae w/Organic Coconut Oil - Natural Support for Skin & Eye Health - Non-GMO & Gluten Free - 12mg, 60 Softgels for Adults - 2 Month Supply",B07V574YYY,"$25
95",$28.95,"13,902",4.6 out of 5 stars
mortin,1,32,False,https://www.amazon.com/Morton-Salt-Kosher-lbs/dp/B001GHYO44/ref=sr_1_32,"Morton Kosher Salt, Coarse, 48 Ounce",B001GHYO44,,,"3,859",4.8 out of 5 stars
mortin,1,33,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"PowerStep Insoles, Pinnacle Low Arch, Flat Feet Pain Relief Insole, Low Arch Support Orthotic for Women and Men",B081TNN55J,"$45
88",,"1,073",4.5 out of 5 stars
mortin,1,34,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"Restore Patch Headache Patches - 30 Day Supply Severe Headache Topical - Hypoallergenic, Chemical-Free Bio-Frequency Patches - Promotes All Natural Relief for Headaches (12 Patches)",B09Y7362BC,"$49
99",,6,3.6 out of 5 stars
mortin,1,35,False,https://www.amazon.com/Hain-Pure-Foods-Iodized-Salt/dp/B0769L2QG1/ref=sr_1_35,"Hain Pure Foods Iodized Sea Salt, 21 Oz",B0769L2QG1,,,"2,463",4.7 out of 5 stars
mortin,1,36,False,https://www.amazon.com/Motrin-IB-300-caps-200/dp/B000O7UBGC/ref=sr_1_36,"Motrin IB 300 caps, 200 mg",B000O7UBGC,,,436,4.7 out of 5 stars
mortin,1,37,False,https://www.amazon.com/Hair-Ties-Silk-Satin-Scrunchies/dp/B0B68JKZ1F/ref=sr_1_37,Hair Ties Silk Satin Scrunchies - Small Mini Scrunchy for Women Thick Hair Accessories Cute Soft No Slip Hair Elastics Ponytail Holder for Curly Hair No Damage Hairties Gift for Girls,B0B68JKZ1F,"$6
99",,"1,473",4.5 out of 5 stars
mortin,1,38,False,https://www.amazon.com/Morton-Coarse-Kosher-Salt-Pound/dp/B00FS1X5Q2/ref=sr_1_38,"Morton Salt Kosher Salt, Coarse, Food Service, 48 Ounce, Packaging May Vary",B00FS1X5Q2,"$11
98",,"5,247",4.7 out of 5 stars
mortin,1,39,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"EASYEAH 20 Sheets Cooling Patches for Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 20",B08NZDJLZZ,"$13
99",$18.99,"1,100",4.2 out of 5 stars
mortin,1,40,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,Soroohi Amigrane Natural Migraine Relief Roll On - Gift: Wearable Acupressure Bracelet for Migraine & Tension Headache Relief - Essential Oils Roll On - Aromatherapy for Headache and Nausea,B0BCTD38QS,"$11
99",,44,3.6 out of 5 stars
mortin,1,41,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"12 Sheets Cooling Patches for Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 12",B08NX1XTS6,"$9
99",$15.99,295,4.3 out of 5 stars
mortin,1,42,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"Dulcolax Kids Soft Chews Saline Laxative Watermelon Gentle Constipation Relief, Magnesium Hydroxide 1200mg, 15 Count",B09T4XP1L8,"$4
98",$7.99,"1,292",4.2 out of 5 stars
mortin,1,43,False,https://www.amazon.com/Advil-Reliever-Reducer-Ibuprofen-Temporary/dp/B000QYI1P6/ref=sr_1_43,"Advil Pain Reliever and Fever Reducer, Pain Relief Medicine with Ibuprofen 200mg for Headache, Backache, Menstrual Pain and Joint Pain Relief - 50 Coated Tablets",B000QYI1P6,,,"3,762",4.8 out of 5 stars
mortin,1,44,False,https://www.amazon.com/NeuropAWAY-Nerve-Support-Formula-Neuropathy/dp/B00VOLK8XI/ref=sr_1_44,NeuropAWAY Nerve Support Formula 60 Daily Capsules.,B00VOLK8XI,"$19
97",,"2,832",3.8 out of 5 stars
mortin,1,45,False,https://www.amazon.com/Morton-Lite-Sodium-Table-2pack/dp/B079M94H6X/ref=sr_1_45,"Morton Lite Salt, With Half The Sodium Of Table Salt, 11 oz (2pack)",B079M94H6X,,,"1,917",4.6 out of 5 stars
mortin,1,46,False,https://www.amazon.com/Vital-Proteins-Beef-Gelatin-Pasture-Raised/dp/B00NLQXXDQ/ref=sr_1_46,Vital Proteins Beef Gelatin Powder - Grass-Fed 16.4 oz,B00NLQXXDQ,"$27
69",$30.00,"2,949",4.6 out of 5 stars
mortin,1,47,False,https://www.amazon.com/Mighty-Immunity-Supplement-WELLMUNE-Cherry/dp/B01F7VS6T8/ref=sr_1_47,"OLLY Kids Immunity Gummy, Immune Support, Wellmune, Elderberry, Vitamin C, Zinc, Chewable Supplement, Cherry - 50 Count",B01F7VS6T8,"$9
68",$13.99,"9,700",4.6 out of 5 stars
mortin,1,48,False,https://www.amazon.com/Motrin-Migraine-Liquid-Ibuprofen-Medicine/dp/B08R5969JR/ref=sr_1_48,"Motrin IB Migraine Liquid Gel Caps, Ibuprofen 200 mg, Migraine Relief Medicine, 20 Ct",B08R5969JR,,,702,4.7 out of 5 stars
mortin,1,49,False,https://www.amazon.com/Dr-Motion-Cushioned-Breathable-Compression/dp/B0BYLC28Y6/ref=sr_1_49,Dr. Motion 6 Pairs Womens Low Cut Ankle Cushioned Breathable Compression Socks,B0BYLC28Y6,"$29
99",,12,5.0 out of 5 stars
mortin,1,50,False,https://www.amazon.com/Viva-Naturals-Organic-Elderberry-Gummy/dp/B08LMYQHWR/ref=sr_1_50,"Organic Elderberry Gummies with Zinc and Vitamin C (120 Count) - Two-Month Supply, Certified USDA Organic 3-in-1 Chewable Sambucus Elderberry Gummies, Immune Support Supplement",B08LMYQHWR,"$19
99",,"50,186",4.7 out of 5 stars
mortin,1,51,False,https://www.amazon.com/Mommys-Bliss-Organic-Soothing-Massage/dp/B08643YT9K/ref=sr_1_51,"Mommy's Bliss Organic Little Gums Soothing Massage Gel Day and Night Combo, Helps with Tender Gums, Age 2 Months+, Sugar Free, Mild & Sweet Flavor, 2 - 0.53 Oz Tubes (Pack of 1)",B08643YT9K,"$12
98",$13.99,"5,615",4.6 out of 5 stars
mortin,1,52,False,https://www.amazon.com/Ozeri-ZK14-AB-Digital-Multifunction-Kitchen/dp/B01JK4XPVW/ref=sr_1_52,"Ozeri Pronto Digital Multifunction Kitchen and Food Scale, All Black",B01JK4XPVW,"$10
22",$14.95,"88,547",4.7 out of 5 stars
mortin,1,53,False,https://www.amazon.com/Turmeric-Curcumin-Moringa-Oleifera-BioPerine/dp/B07DHZRW4Q/ref=sr_1_53,"Turmeric Curcumin & Moringa Leaves Extract with Black Pepper. 95% Curcuminoids - Joint Support Supplement with Tumeric Powder, Bioperine & Moringa Oleifera Leaf for Joints, Digestion & Energy. 60 Caps",B07DHZRW4Q,"$21
47",,"6,323",4.6 out of 5 stars
mortin,1,54,False,https://www.amazon.com/Moringa-Organic-Oleifera-Antioxidants-Superfoods/dp/B01L2TGLTG/ref=sr_1_54,"Moringa Powder Organic (Moringa Oleifera Leaf Powder), 2 Pounds, Rich in Antioxidants and Immune Vitamin, Great Superfoods for Moringa Tea, Moringa Drink, Moringa Powder for Hair, India Grown, Vegan",B01L2TGLTG,"$23
95",,"2,284",4.5 out of 5 stars
mortin,1,55,False,https://www.amazon.com/Planters-Pecans-Roasted-Salted-Canister/dp/B00OEXP0UE/ref=sr_1_55,"PLANTERS Roasted Pecans, 7.25 oz. Resealable Canister - Salted Pecans - Snacks for Adults - Kids Snacks - Vegan Snacks, Kosher",B00OEXP0UE,,,"23,314",4.6 out of 5 stars
mortin,1,56,False,https://www.amazon.com/Morton-Lite-Salt-Sodium-Table/dp/B0005YM0UY/ref=sr_1_56,"Morton Lite Salt, With Half The Sodium Of Table Salt, 11 oz",B0005YM0UY,"$7
20",,567,4.7 out of 5 stars
