SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
disney,1,1,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1,"Disney Women's Baseball Cap, Minnie Mouse Adjustable Hat for Adult",B0BMJTN6M8,"$13
38",$14.99,9,4.4 out of 5 stars
disney,1,2,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1,Disney Womens Villains No Show Ankle Socks 6 Pair Pack Shoe Sizes 4-10,B0C3K7S5TT,"$13
99",,,
disney,1,3,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1,Disney Juniors Mickey Mouse Long Sleeve Tee,B0C5CK4QQR,"$21
99",,,
disney,1,4,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1,Disney Women's Mickey Mouse 2-Piece Snug-fit Cotton Pajamas Set,B095XFVLJ7,"$19
35",$24.09,11,4.1 out of 5 stars
disney,1,5,False,https://www.amazon.com/Disney-Classic-Standing-T-Shirt-Heather/dp/B071GLZP26/ref=sr_1_5,Disney Men's Full Size Mickey Mouse Distressed Look T-Shirt,B071GLZP26,"$11
26",$18.99,"4,642",4.7 out of 5 stars
disney,1,6,False,https://www.amazon.com/Fast-Paced-Matching-Observation-Playtime-Zygomatic/dp/B0BX1N8269/ref=sr_1_6,Spot It! Disney 100 Years of Wonder Card Game | Fast-Paced Symbol Matching Observation Game | Fun Family Game for Kids and Adults | Age 6+ | 2-8 Players | Avg. Playtime 15 Minutes | Made by Zygomatic,B0BX1N8269,"$15
29",$16.99,19,4.5 out of 5 stars
disney,1,7,False,https://www.amazon.com/Disney-Womens-Classic-Mickey-4-10-5/dp/B0723DNK1L/ref=sr_1_7,Disney Women's Mickey Mouse 5 Pack No Show Socks,B0723DNK1L,"$8
12",$10.99,"5,708",4.8 out of 5 stars
disney,1,8,False,https://www.amazon.com/PlayMonster-7524-Disney-Trivia-Exclusive/dp/B09R6SD2YZ/ref=sr_1_8,"The Magical World of Disney Trivia — 2,000 Questions — Special Cards for Children to Play! — Features Disney and Pixar Sketch Art and 3D Board Elements — Collectible —8 Players, Ages 6+",B09R6SD2YZ,"$34
99",$44.99,781,4.8 out of 5 stars
disney,1,9,False,https://www.amazon.com/Disney/dp/B07Y8SJGCV/ref=sr_1_9,Disney+,B07Y8SJGCV,,,"1,011,330",4.5 out of 5 stars
disney,1,10,False,https://www.amazon.com/Disney-Giant-Mickey-Graphic-T-Shirt/dp/B075C78NMB/ref=sr_1_10,Disney Men's Giant Mickey Mouse Gray Graphic T-Shirt,B075C78NMB,"$8
98",$18.99,"4,159",4.6 out of 5 stars
disney,1,11,False,https://www.amazon.com/Disney-Stitch-Coffee-T-Shirt-Heather/dp/B07GSDHSGC/ref=sr_1_11,Disney Lilo and Stitch Coffee First Adult T-Shirt,B07GSDHSGC,"$19
95",,"2,068",4.7 out of 5 stars
disney,1,12,False,https://www.amazon.com/Disney-Minnie-Mouse-Polka-Baseball/dp/B081ZQPXZ3/ref=sr_1_12,Disney Minnie Mouse Polka Dot Pom Pom Baseball Cap with Bow Black,B081ZQPXZ3,"$14
99",$19.99,"2,002",4.6 out of 5 stars
disney,1,13,False,https://www.amazon.com/Disney-Jr-T-T-S-Headquarters/dp/B07RWNP3Z3/ref=sr_1_13,Just Play Disney Jr T.O.T.S. Nursery Headquarters Playset & Bonus Figures - Amazon Exclusive,B07RWNP3Z3,"$12
84",$44.99,"2,602",4.8 out of 5 stars
disney,1,14,False,https://www.amazon.com/Disney-Toddler-Frozen-Fantasy-Nightgown/dp/B08KTY8BLP/ref=sr_1_14,Disney Girls' Fantasy Gown Nightgown,B08KTY8BLP,"$18
99",,"15,703",4.8 out of 5 stars
disney,1,15,False,https://www.amazon.com/Disney-Mickey-Minnie-Sitting-Raincoat/dp/B07C5X35CR/ref=sr_1_15,Disney Mickey and Minnie Mouse Rain Poncho,B07C5X35CR,"$11
99",$13.00,565,4.6 out of 5 stars
disney,1,16,False,https://www.amazon.com/Vacation-Disney-Unisex-Sizing-Heather/dp/B08TLZQL7Z/ref=sr_1_16,Magic Vibes Shirt | Cute Vacation Shirt for Disney | Unisex Sizing,B08TLZQL7Z,"$22
99",,"2,794",4.7 out of 5 stars
disney,1,17,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,Ceaco - Thomas Kinkade - Disney - 100th Collage - 2000 Piece Jigsaw Puzzle,B0BYFWK5QH,"$18
99",,,
disney,1,18,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,Ceaco - Disney - Vinylmation - 750 Piece Jigsaw Puzzle,B01B4DKPRE,"$9
05",$12.99,"1,424",4.7 out of 5 stars
disney,1,19,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,Ceaco - Thomas Kinkade - Disney 100th Celebration - 1000 Piece Jigsaw Puzzle,B0C5NQS8D3,"$14
99",,,
disney,1,20,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1,"ZYTJ 2Pcs Disney Mouse Ears,Shiny Bows Minnie Mickey Mouse ears Headbands for birthday parties, themed events, a perfect addition to your Disney trip essentials and accessories for women (red)",B0BZP7DFTQ,"$6
99",,18,4.6 out of 5 stars
disney,1,21,False,https://www.amazon.com/Disney-Encanto-Mirabel-Fashion-219452-PB/dp/B07KXJ3LLX/ref=sr_1_21,"Disney Encanto Mirabel Dress, Costume for Girls Ages 3 and up, Outfit Fits Children Sizes 4-6X",B07KXJ3LLX,"$11
60",$19.99,"1,278",4.5 out of 5 stars
disney,1,22,False,https://www.amazon.com/Simple-Modern-Disney-Bottle-Tumbler/dp/B08DPNGYN9/ref=sr_1_22,Simple Modern Disney Water Bottle with Straw Lid Insulated Stainless Steel Metal Thermos | Gifts for Women Men Reusable Leak Proof Flask | Summit Collection | 32oz Mickey Mouse Floral Riptide,B08DPNGYN9,"$29
99",,"7,617",4.9 out of 5 stars
disney,1,23,False,https://www.amazon.com/Disney-Passport-Crossbody-Mickey-Multicolor/dp/B08CGFH3ZL/ref=sr_1_23,Disney Passport Bag Crossbody Travel Mickey Minnie Eeyore Stitch All Over Print,B08CGFH3ZL,"$17
99",,862,4.5 out of 5 stars
