SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
pepsico,1,47,False,https://www.amazon.com/PopCorners-Snacks-Gluten-Flavor-Variety/dp/B09M7SRT85/ref=sr_1_47,"PopCorners Popped Corn Snacks, 3 Flavor Variety Pack, 1oz Bags (20 Pack)",B09M7SRT85,,,"29,021",4.5 out of 5 stars
pepsico,1,48,False,https://www.amazon.com/Yachak-Yerba-Mate-Drink-Blackberry/dp/B098FG3H3B/ref=sr_1_48,"Yachak Yerba Mate Drink, Blackberry, 16 Fl Oz Cans, Pack of 12",B098FG3H3B,,,"1,637",4.6 out of 5 stars
pepsico,2,1,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"PRIME HYDRATION+ Stick Pack | Electrolyte Drink Mix | 10% Coconut Water | 250mg BCAAs | Antioxidants | Naturally Flavored | Zero Added Sugar | Easy Open Single-Serving Stick | Ice Pop, 6 Sticks",B0BQRWY33Y,"$8
98",$13.99,278,4.3 out of 5 stars
pepsico,2,2,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"Odd Sox, Men's Novelty Boxer Briefs, Pepsi or Mt. Dew Soda, Fun Graphic Prints",B09CG6F3P5,"$22
99",,37,4.6 out of 5 stars
pepsico,2,3,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"American Made Can Cooler, Red w/ White & Pink, Foam (American Made Can Cooler, Red w/ White & Pink, Foam) Sip Hip Hooray",B0B4KPY79S,"$7
50",,2,1.9 out of 5 stars
pepsico,2,4,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"Southern Roots Theme Can Cooler, US Made, 12 oz Sleeves for Soda, Beer, Seltzer, Beverages (single) (What Would Waylon and Willie and The Boys Do, Royal Blue w/ White Lettering, Foam) | Sip Hip Hooray",B0B7BHPYL1,"$7
50",,4,5.0 out of 5 stars
pepsico,2,5,False,https://www.amazon.com/Gatorade-Hydration-Non-Slip-Squeeze-Bottles/dp/B0C1NWSZ6P/ref=sr_1_53,"Gatorade Gx Hydration System, Non-Slip Gx Squeeze Bottles, Marble Black & Gx Hydration System, Non-Slip Gx Squeeze Bottles, Marble Blue",B0C1NWSZ6P,"$39
98",,3,5.0 out of 5 stars
pepsico,2,6,False,https://www.amazon.com/Bubly-Bounce-Triple-Berry-12oz/dp/B08NBBF9J6/ref=sr_1_54,"Bubly Bounce Triple Berry 12oz Can, 12 Fl Oz",B08NBBF9J6,,,10,3.8 out of 5 stars
pepsico,2,7,False,https://www.amazon.com/Gatorade-Wide-Mouth-Cool-Blue/dp/B000VDZ3Q2/ref=sr_1_55,"Gatorade Thirst Quencher Cool Blue, 20 Fl Oz Bottles, 8 Pack",B000VDZ3Q2,,,"1,833",4.8 out of 5 stars
pepsico,2,8,False,https://www.amazon.com/IZZE-Sparkling-Juice-Blackberry-Count/dp/B0014WYXYW/ref=sr_1_56,"Izze Sparkling Juice, Blackberry, 8.4 Fl Oz (24 Count)",B0014WYXYW,,,"18,528",4.7 out of 5 stars
pepsico,2,9,False,https://www.amazon.com/Frito-Lay-Combo-Links-Count-Variety/dp/B0BKR5KDZN/ref=sr_1_57,"Frito-Lay Combo Mix with Jack Link’s, 24 Count Variety Pack",B0BKR5KDZN,,,30,4.5 out of 5 stars
pepsico,2,10,False,https://www.amazon.com/Doritos-Jalapeno-Nacho-Cheese-Variety/dp/B09NZ751SJ/ref=sr_1_58,"Doritos Spicy Nacho Flavored Dip and Cool Ranch Jalapeno Flavored Dip Variety Pack, 10oz (4 Pack)",B09NZ751SJ,,,81,4.1 out of 5 stars
pepsico,2,11,False,https://www.amazon.com/Starry-Lemon-Lime-Zero-Mini/dp/B0BCXCJBPS/ref=sr_1_59,"Starry Lemon Lime Mini, 7.5 Fl Oz Cans, 10 Pack",B0BCXCJBPS,,,46,4.5 out of 5 stars
pepsico,2,12,False,https://www.amazon.com/Gatorade-Calorie-Fruit-Punch-Pack/dp/B001A5V7GU/ref=sr_1_60,"Gatorade G2 Thirst Quencher, Fruit Punch, 20 Fl Oz Bottles, 8 Pack",B001A5V7GU,,,"2,074",4.7 out of 5 stars
pepsico,2,13,False,https://www.amazon.com/bubly-Sparkling-Water-Variety-calories/dp/B0BRQRXX8C/ref=sr_1_61,"bubly Sparkling Water, Crack a Smile Variety Pack, 12oz Cans (18 Pack), zero calories & zero sugar",B0BRQRXX8C,,,"12,472",4.5 out of 5 stars
pepsico,2,14,False,https://www.amazon.com/Gatorade-Hydration-Non-Slip-Squeeze-Bottles/dp/B09NZGZQ85/ref=sr_1_62,"Gatorade Gx Hydration System, Non-Slip Gx Squeeze Bottles Neon Blue, 30 Oz",B09NZGZQ85,,,254,4.5 out of 5 stars
pepsico,2,15,False,https://www.amazon.com/Rockstar-Energy-Strawberry-Caffeine-Taurine/dp/B0BMM7G1KS/ref=sr_1_63,"Rockstar Pure Zero Energy Drink, Strawberry Peach, 0 Sugar, with Caffeine and Taurine, 16oz Cans (12 Pack)",B0BMM7G1KS,,,56,4.4 out of 5 stars
pepsico,2,16,False,https://www.amazon.com/Mountain-Energy-Drink-Pomegranate-Burst/dp/B08Z2761QQ/ref=sr_1_64,"Mountain Dew Rise Energy Drink, Pomegranate Blue Burst, 16 ounce (Pack of 12)",B08Z2761QQ,,,5,5.0 out of 5 stars
pepsico,2,17,False,https://www.amazon.com/Pearl-Milling-Company-Flavor-Variety/dp/B0BSLX4YHS/ref=sr_1_65,Pearl Milling Company Cups 3 Flavor Variety Pack,B0BSLX4YHS,,,"3,565",4.5 out of 5 stars
pepsico,2,18,False,https://www.amazon.com/Tropicana-Juice-Apple-Bottle-Carton/dp/B015EY3C06/ref=sr_1_66,"Tropicana 57178 100% Juice, Apple, 10oz Bottle, 24/Carton",B015EY3C06,"$58
87",,77,4.5 out of 5 stars
